,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,10
,Cambodia,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,,,,,,,,,,,,,,,,,,,,,18
,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0
,India,,,,,,,,,,,,,,,,,,,,,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,8,17,17,17,17,17,,,,,142
,Indonesia,,,,,,,,,,,,,,,,,,,,3,0,,,27,2,3,6,,5,8,,6,10,8,,8,4,,,,,,,,,,,14,,,,,,8,,,,,,,,,,18,19,37,187
,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0
,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,6
,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,0,4,,,,,,,,,,,,,,,,,,34
,Laos,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0
,Malaysia,,,,,,,,,,,,,,,,,,,,23,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,38
,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,6
,Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,6,,,,,,,,,,,,,,,,,,,18
,Nepal,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,4,7,,,,,,,17
,New Zealand,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,6,,,,,,,,,,,,,,,,,,,,48,44,,,,3,3,172
,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,67,,,,,,,,,,,,,,,,,,,,,,,,,202
,Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,6
,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,32,,3,2,,,2,4,,2,,,12,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,3,,76
,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,6,26
,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,15,6,,,81
,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,12
,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,6
,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
,Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,5,23
,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,24
,Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,6
,United Kingdom,,,,,,125,,,,,,2,2,,,,,,,,,,,45,90,90,90,53,8,8,7,7,7,,,,,,,,,,6,30,,,,,,,,,,,,,,,5,,,,,,,,576
,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,71,,,,,,,18,24,,,,,,42,30,30,2,,,,,,,96,30,30,60,60,546
,Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,36,,,125,,,,,,2,2,,,,,,,26,17,36,6,72,92,131,113,62,21,22,15,15,24,31,58,13,57,89,18,18,158,85,6,60,36,36,16,20,4,,,43,47,44,2,49,14,18,25,72,115,143,45,54,91,113,2397
